Data ,Label
यो सबै भन्दा फटा देशद्रोही हो,0
धार्मिक अतिवाद विरुद्धको आक्रमण हो,0
सामाजिक सन्जालमा अपलोड गर्नु,2
कसरि सार्थकता पाउलार सफाई अभियानले,2
सायद पुलिस रोनाल्डो को सपोटर रहेछन,2
लौ सुत्नी बेला पनि भैसकेछ कति चाडो,2
बन्द को हल्ला आयो ,2
मलाई भन्या भए यो भन्दा राम्रो pic पठाईदिन्थे नि,2
सन्ध्या र आरती भन्दै नढाट है केटा को अनुहार छ त सबैमा,2
लु first भयर देखाओ अब,2
कुनै बेला मैले नि बनाथें तर ओठ चै कमेडी भैदिरा,2
टाउको को बिचमा चैँ के को खत हो,2
कपाल र दारी मेरो जस्तै पाल्न खोज्या रैछ अलि भाछैन रे भन्दिनु है,2
